restaurant_id,name,category,price_tier,neighborhood,opening_time,closing_time,average_rating,good_for_kids
1,Deli Delight,Korean,expensive,Bronx,11:30,16:00,3,false
2,Sweet Treats Bakery,Italian,cheap,Queens,9:00,16:00,4,false
3,Ocean Breeze Seafood,Korean,cheap,Astoria,12:00,21:00,4,true
4,The Breakfast Nook,Mediterranean,expensive,Manhattan,12:00,16:00,4,false
5,Smokehouse BBQ,Japanese,cheap,Harlem,10:30,16:00,3,true
6,Sizzle Grill,Chinese,medium,Harlem,10:00,17:00,4,true
7,The Coffee House,Korean,medium,Harlem,11:30,16:00,1,false
8,Pizza Palace,Italian,cheap,Williamsburg,10:00,17:00,5,true
9,The Cheesecake Factory,Korean,expensive,Harlem,10:00,16:00,5,false
10,The Cheesecake Factory,Chinese,medium,Manhattan,9:30,19:00,2,false
11,Taco Town,Mediterranean,expensive,Bronx,10:00,20:00,1,false
12,Sweet Treats Bakery,Korean,cheap,Williamsburg,10:30,20:00,5,false
13,Burger Haven,Indian,medium,Astoria,9:30,18:00,5,true
14,Sweet Treats Bakery,Korean,cheap,Brooklyn,12:00,17:00,5,false
15,Taco Town,Mediterranean,expensive,Manhattan,12:00,17:00,1,false
16,Wok n Roll,Korean,medium,Manhattan,9:00,20:00,3,false
17,The Coffee House,Chinese,expensive,Williamsburg,11:00,17:00,4,true
18,Taste of India,Mexican,cheap,Park Slope,9:30,18:00,1,false
19,Sizzle Grill,Japanese,medium,Astoria,11:00,16:00,5,true
20,The Spice Route,Indian,cheap,Park Slope,11:30,19:00,5,false
21,Sushi Samurai,Indian,medium,Astoria,10:00,16:00,4,true
22,The Cheesecake Factory,Korean,cheap,Park Slope,9:30,20:00,1,true
23,Sweet Treats Bakery,Mediterranean,medium,Staten Island,10:00,21:00,2,true
24,Taco Town,Mexican,expensive,Brooklyn,9:30,19:00,1,true
25,Green Leaf Salad Bar,Indian,cheap,Queens,12:00,17:00,2,true
26,The Cheesecake Factory,Chinese,medium,Park Slope,9:30,17:00,1,false
27,Wok n Roll,Korean,expensive,Bronx,9:30,19:00,2,true
28,Sizzle Grill,Mexican,cheap,Brooklyn,9:30,18:00,1,false
29,Pasta Paradise,Indian,medium,Park Slope,10:30,16:00,2,true
30,The Coffee House,Italian,medium,Astoria,11:00,21:00,1,false
31,Taco Town,Mediterranean,cheap,Harlem,9:00,21:00,2,true
32,The Cheesecake Factory,Mediterranean,medium,Astoria,9:30,20:00,4,true
33,Ocean Breeze Seafood,Chinese,medium,Manhattan,11:00,20:00,5,true
34,The Coffee House,Chinese,cheap,Bronx,12:00,18:00,3,true
35,The Cheesecake Factory,Italian,medium,Manhattan,11:00,20:00,1,true
36,The Cheesecake Factory,Chinese,expensive,Staten Island,10:30,16:00,2,false
37,Mama Mia's Pizzeria,Korean,cheap,Harlem,9:30,17:00,4,true
38,Sizzle Grill,Chinese,medium,Harlem,11:30,17:00,3,false
39,Pizza Palace,Chinese,medium,Brooklyn,10:30,18:00,5,false
40,The Breakfast Nook,Chinese,cheap,Astoria,10:30,21:00,2,true
41,Pasta Paradise,Korean,expensive,Park Slope,9:00,20:00,2,true
42,Mama Mia's Pizzeria,Mediterranean,expensive,Bronx,11:30,16:00,4,false
43,Burger Haven,Indian,expensive,Staten Island,12:00,20:00,1,false
44,Pasta Paradise,Korean,cheap,Harlem,12:00,18:00,1,true
45,Cafe Luna,Korean,expensive,Queens,11:30,17:00,3,false
46,Ocean Breeze Seafood,Korean,cheap,Harlem,9:30,16:00,5,true
47,Mama Mia's Pizzeria,Korean,cheap,Harlem,10:00,19:00,1,true
48,Taste of India,Italian,cheap,Manhattan,11:30,17:00,3,false
49,Cafe Luna,Mediterranean,medium,Staten Island,12:00,19:00,1,false
50,Taste of India,Mediterranean,cheap,Harlem,10:00,19:00,4,false
51,Pasta Paradise,Japanese,cheap,Harlem,10:30,17:00,3,false
52,Pasta Paradise,Mediterranean,expensive,Astoria,10:00,20:00,4,true
53,Mama Mia's Pizzeria,Indian,medium,Brooklyn,9:30,17:00,1,true
54,Sweet Treats Bakery,Mediterranean,cheap,Park Slope,9:30,17:00,1,false
55,Green Leaf Salad Bar,Korean,medium,Brooklyn,12:00,19:00,5,true
56,Cafe Luna,Chinese,cheap,Staten Island,10:00,17:00,1,false
57,Taco Town,Italian,cheap,Staten Island,9:00,20:00,3,false
58,Deli Delight,Japanese,expensive,Greenwich Village,9:30,20:00,1,false
59,Smokehouse BBQ,Korean,medium,Manhattan,9:30,20:00,4,false
60,Smokehouse BBQ,Japanese,expensive,Harlem,11:00,17:00,1,true
61,Burger Haven,Italian,cheap,Staten Island,10:00,21:00,5,true
62,Taste of India,Italian,cheap,Staten Island,10:00,20:00,1,false
63,Mama Mia's Pizzeria,Mexican,medium,Park Slope,9:00,21:00,1,false
64,Sweet Treats Bakery,Mediterranean,expensive,Queens,9:30,16:00,3,false
65,The Cheesecake Factory,Indian,medium,Harlem,10:00,17:00,5,true
66,Sweet Treats Bakery,Mediterranean,expensive,Greenwich Village,11:00,21:00,2,false
67,Taste of India,Italian,cheap,Bronx,11:30,17:00,4,false
68,Deli Delight,Indian,medium,Bronx,9:30,18:00,2,true
69,Cafe Luna,Indian,expensive,Manhattan,11:00,17:00,3,true
70,The Hungry Owl,Japanese,expensive,Park Slope,9:00,20:00,1,false
71,Sweet Treats Bakery,Mexican,medium,Harlem,11:30,20:00,3,false
72,Mama Mia's Pizzeria,Japanese,cheap,Brooklyn,11:00,16:00,2,true
73,The Spice Route,Indian,medium,Manhattan,9:00,20:00,5,true
74,Mama Mia's Pizzeria,Indian,expensive,Queens,10:00,20:00,2,true
75,Cafe Luna,Mexican,cheap,Greenwich Village,10:30,20:00,3,true
76,Taco Town,Japanese,medium,Brooklyn,9:30,21:00,4,true
77,Cafe Luna,Korean,cheap,Park Slope,9:00,20:00,2,true
78,The Coffee House,Indian,expensive,Greenwich Village,11:00,21:00,5,true
79,Burger Haven,Korean,expensive,Park Slope,10:30,18:00,3,false
80,The Cheesecake Factory,Korean,medium,Queens,9:30,17:00,2,false
81,Ocean Breeze Seafood,Mexican,expensive,Harlem,11:00,19:00,2,false
82,Wok n Roll,Korean,medium,Greenwich Village,12:00,16:00,2,false
83,Sizzle Grill,Indian,medium,Park Slope,9:30,18:00,3,false
84,Wok n Roll,Mediterranean,cheap,Harlem,9:30,17:00,5,false
85,Wok n Roll,Chinese,medium,Brooklyn,10:00,21:00,4,true
